FeatureID,Mass,Retention_time,A1.mzML,A2.mzML,A3.mzML,A4.mzML,A5.mzML,A6.mzML,A7.mzML,A8.mzML,A9.mzML,A10.mzML,A11.mzML,A12.mzML,A13.mzML,A14.mzML,A15.mzML,pooled_QC_1.mzML
31956,243.197,8.82,0.000592676,0.000565662,0.000475629,0.000162989,0.00038144,3.20E-05,0.000382734,0.000150626,0.000355354,0.000390875,0.000217463,0.00033397,0.00017849,0.000213572,6.72E-05,0.000550033
30161,243.197,8.447,7.17E-05,3.30E-05,4.74E-05,1.95E-05,0.000617312,2.22E-05,0.000247358,6.72E-05,0.000204048,4.61E-05,0.000180037,0.000188935,4.06E-05,5.52E-05,0.000160345,7.53E-05
31487,243.197,8.722,0.000135136,9.66E-05,9.13E-05,2.03E-05,3.38E-05,2.55E-06,1.80E-05,1.92E-06,2.43E-05,4.09E-06,1.05E-05,1.57E-05,7.18E-06,1.94E-05,2.26E-06,9.82E-05
25580,243.197,7.3,0.000473663,0.000427959,0.000448692,3.28E-05,5.09E-05,1.17E-05,0.000374902,9.87E-05,0.000259292,0.000586159,0.000232981,0.000297397,0.00048537,0.000287623,7.62E-05,0.000404778
27786,243.197,7.863,9.58E-05,4.42E-05,4.94E-05,9.90E-06,1.19E-05,2.98E-07,4.22E-05,1.58E-05,1.79E-05,2.37E-05,2.25E-05,8.79E-06,1.21E-05,1.62E-05,5.22E-06,4.50E-05
26041,243.197,7.408,5.21E-05,3.27E-05,2.71E-05,5.25E-06,7.45E-06,2.98E-07,4.29E-05,1.66E-05,1.40E-05,9.27E-05,6.89E-05,2.76E-05,1.34E-05,1.44E-05,5.43E-06,4.61E-05
29960,243.197,8.382,0.000134616,3.61E-05,3.40E-05,1.29E-05,7.04E-05,3.87E-06,5.73E-05,6.41E-06,0.000122191,4.61E-05,2.88E-05,3.56E-05,5.82E-05,7.63E-05,2.36E-05,0.000112714
28820,243.197,8.104,0.000256276,9.70E-05,5.85E-05,3.09E-05,4.28E-05,7.14E-07,0.000132692,1.83E-05,2.39E-05,3.50E-05,4.18E-05,2.73E-05,3.77E-05,4.56E-05,1.15E-05,7.64E-05
9415,244.119,3.099,4.73E-05,2.24E-05,1.48E-05,4.63E-07,2.09E-06,2.98E-07,2.51E-06,1.92E-06,2.76E-06,0.000245943,6.66E-05,5.48E-05,3.82E-06,6.78E-06,6.62E-07,2.53E-05
19656,244.155,5.448,7.81E-06,1.25E-06,1.68E-06,1.26E-07,9.43E-08,2.98E-07,2.51E-06,1.92E-06,2.76E-06,0.000229251,2.56E-05,5.74E-05,5.22E-07,4.47E-07,6.62E-07,1.13E-05
12608,244.156,3.727,1.49E-05,6.10E-06,6.10E-06,1.26E-07,6.30E-07,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.10E-05,6.85E-05,2.05E-06,5.22E-07,4.47E-07,6.62E-07,7.10E-06
1837,244.888,0.897,3.26E-06,1.12E-05,5.12E-07,8.66E-07,3.46E-06,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,2.29E-07
4168,244.988,1.571,1.50E-07,5.07E-06,1.03E-07,1.26E-07,2.86E-06,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,2.29E-07
